KA,名义功率(kW),小轮转速(r/min),带型,基准宽度Bd,Hamin,Hfmin,e,Fmin,δmin,轴孔径d
1.2,7,960,B,14 / 14,3.5 / 3.5,10.8 / 10.8,19 / 19,11.5 / 11.5,7.5 / 7.5,40 / 50,

小轮 / 大轮直径,传动比, 带基准长度, 中心矩, 小轮包角(°), 带速(m/s), 带的根数,建议带轮结构,槽轮角φ(°),最小带轮宽B,轮毂宽度L,最小外径da,轮毂直径d1,轮缘内径D1,腹板厚度C',预估毛坯质量(Kg)
125 / 355,2.84,2500,864.905,164.764,6.28319,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 11~20,7.11 / 19.2
125 / 355,2.84,2500,865.099,164.767,6.28319,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 11~20,7.11 / 19.2
125 / 355,2.84,2500,865.284,164.77,6.28319,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 11~20,7.11 / 19.2
125 / 355,2.84,2500,865.46,164.773,6.28319,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 11~20,7.11 / 19.2
125 / 355,2.84,2500,865.629,164.776,6.28319,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 11~20,7.11 / 19.2
125 / 355,2.84,2700,965.79,166.355,6.28319,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 11~20,7.11 / 19.2
125 / 355,2.84,2700,965.944,166.357,6.28319,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 11~20,7.11 / 19.2
125 / 355,2.84,2700,966.092,166.359,6.28319,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 11~20,7.11 / 19.2
140 / 400,2.85714,1560,333.53,135.336,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,1760,434.654,145.727,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,1760,435.67,145.807,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,1760,436.593,145.879,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,1760,437.435,145.945,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,1760,438.207,146.005,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,1950,533.917,152.099,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,1950,534.572,152.133,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,1950,535.179,152.165,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,1950,535.742,152.194,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,1950,536.266,152.221,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2180,651.755,157.143,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2180,652.212,157.159,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2180,652.64,157.174,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2180,653.043,157.188,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2180,653.422,157.202,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2300,713.779,159.13,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2300,714.116,159.139,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2300,714.435,159.149,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2300,714.737,159.158,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2500,815.024,161.722,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2500,815.296,161.728,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2500,815.555,161.734,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2500,815.801,161.74,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2500,816.037,161.745,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2700,916.261,163.742,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2700,916.475,163.745,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2700,916.68,163.749,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2700,916.876,163.753,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2700,917.065,163.756,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2870,1002.24,165.136,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2870,1002.42,165.139,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2870,1002.58,165.141,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2870,1002.74,165.144,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2870,1002.9,165.146,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
140 / 400,2.85714,2870,1003.05,165.148,7.03717,4,实心 / 孔板,34 / 38,80 / 80,80 / 100,147 / 407,80 / 100,103.4 / 363.4,0~0 / 11~20,7.76 / 21.2
150 / 450,3,1760,381.975,135,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,1950,478.193,144.055,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,1950,479.305,144.138,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,1950,480.324,144.214,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,1950,481.261,144.284,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,1950,482.126,144.348,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,1950,482.928,144.407,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2180,598.672,151.289,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2180,599.365,151.322,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2180,600.011,151.353,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2180,600.616,151.381,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2300,661.183,154.003,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2300,661.716,154.024,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2300,662.217,154.044,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2300,662.69,154.062,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2500,763.136,157.476,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2500,763.558,157.489,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2500,763.958,157.5,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2500,764.338,157.512,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2500,764.699,157.522,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2700,865.042,160.13,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2700,865.368,160.137,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2700,865.68,160.144,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2700,865.977,160.151,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2700,866.261,160.158,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2870,951.533,161.936,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2870,951.793,161.941,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2870,952.042,161.945,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2870,952.282,161.95,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2870,952.511,161.954,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,2870,952.732,161.958,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,3200,1117.94,164.625,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,3200,1118.15,164.627,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,3200,1118.34,164.63,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,3200,1118.53,164.633,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,3200,1118.72,164.635,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,3200,1118.89,164.638,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,3200,1119.06,164.64,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
150 / 450,3,3200,1119.23,164.642,7.53982,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,157 / 457,80 / 100,113.4 / 413.4,0~0 / 9~15,6.81 / 17.1
170 / 500,2.94118,1950,419.759,134.956,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2180,535.946,144.721,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2180,537.04,144.793,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2180,538.051,144.859,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2180,538.988,144.92,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2180,539.86,144.977,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2300,600.672,148.523,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2300,601.431,148.562,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2300,602.142,148.599,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2300,602.809,148.634,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2500,703.436,153.121,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2500,704.026,153.144,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2500,704.584,153.165,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2500,705.11,153.185,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2500,705.609,153.204,8.54513,3,实心 / 孔板,34 / 38,61 / 61,80 / 61,177 / 507,80 / 100,133.4 / 463.4,0~0 / 9~15,7.46 / 18.7
170 / 500,2.94118,2700,806.082,156.544,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,2700,806.53,156.557,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,2700,806.957,156.569,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,2700,807.363,156.581,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,2700,807.75,156.592,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,2870,893.119,158.83,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,2870,893.471,158.838,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,2870,893.808,158.846,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,2870,894.13,158.854,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,2870,894.439,158.861,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,2870,894.735,158.868,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3200,1060.02,162.163,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3200,1060.29,162.168,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3200,1060.55,162.172,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3200,1060.81,162.176,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3200,1061.05,162.18,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
